Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
Senior Data Scientist,The College Board,Remote,3.9,PostedPosted 12 days ago,NaN,"You bring a portfolio of skills that allows you to work with a variety of data sources, clean and munge data with varying levels of structure, perform analyses…",https://www.indeed.com/rc/clk?jk=8ae01629d9a6e031&fccid=c651209eaa60c163&vjs=3,"Technology Department, Data Science Team
100% Remote
The Team:
The Data Science team provides critical insights and tools to help the executive leadership team, technology teams, and business units optimize test delivery, test development, and test security. Our expertise is understanding a wide array of business problems and using a variety of techniques including data analysis, machine learning, and software engineering to create value from data and support decision making. We have a passion for data analysis, programming, applying new technologies, and building practical solutions. Our small, tight-knit, self-organized team of 6 Data Scientists and Machine Learning Engineers collaborates closely and uses creative problem solving to tackle difficult challenges for many of the organization’s strategic initiatives. We love having virtual happy hours and celebrating our accomplishments.
The Opportunity:
As a Data Scientist you will work with several product teams and other Technologists on a largely independent endeavor to track, understand, and tell the story of users as they come to our products. You will share much of your work directly with the CIO and Chief Architect. You bring a portfolio of skills that allows you to work with a variety of data sources, clean and munge data with varying levels of structure, perform analyses to derive insights, and communicate clearly through data visualization, writing and presenting. Your ability to understand the data and the concerns and narratives around that data put people at ease and allow you to address concerns head on. You are passionate about understanding stakeholders and leveraging data to support their needs. You relish the opportunity to bring your ideas, love of coding, data savviness, and business acumen to answer tricky questions.
In this role, you will:
Perform data exploration, analysis, and prototyping (80%)
Ingest new data streams and integrate them with existing sources to deepen insights.
Perform thorough exploratory data analysis and raise new questions.
Create insights from existing data and drive the collection of new data.
Independently manage and complete all the work needed to deliver small-sized applications and analyses on time and at a very high level of quality.
Communicate methodology and results of advanced analyses using accessible language and intuitive data visualizations.
Create reproducible, documented analyses and models that lend themselves to automation.
Build tools that are used daily by those concerned with our users and their ability to access our products.
Communications & Stakeholder Engagement (20%)
Assist in the identification and resolution of production issues.
Independently learn about stakeholder concerns and observations.
Communicate findings and assist stakeholders in interpretation of data and analyses.
Share reports and tools that allow stakeholders to self-serve data and analyses related to recurring questions.
About you, you have
Ideally a Master’s in a quantitative discipline or computer science, OR a bachelor’s and 1-2 years related experience, OR 3+ years related experience OR a great story to tell.
Programming expertise in Python (Preferred) or R (with an interest in Python).
Experience in data and statistical analysis, with a strong ability to interpret stakeholder concerns into analytical questions.
Experience with SQL and NoSQL databases.
A passion for solving difficult problems creatively.
Excellent communication and listening skills including helping others understand both problems and solutions.
Strong data visualization skill and the ability to tell a story with data.
Comfortable working with stakeholders across teams with a passion for helping your colleagues succeed.
Some experience with operationalizing data science tools, such as dashboards, or models.
Our Benefits & Compensation:
College Board offers a strong compensation and benefits package that attracts top talent looking to make a difference in education.
Our robust benefits package includes health, dental, and vision insurance, tuition assistance, paid time off, paid parental leave, retirement benefits with a generous matching program, and more.
We reward performance through annual bonuses and provide opportunities for salary growth over time through base compensation increases, merit raises and promotions.
We believe in compensating staff members fairly in relation to each other, their qualifications, and their impact. The salary range for a new employee in this position is $144,000 - $157,000. The salary offer of an individual candidate within this range is specific to their location and qualifications.
Each salary offer is determined carefully using internal and external benchmarking and adjusting for the candidate’s location. You will have an opportunity to discuss salary in more detail after you begin the application process.
As a self-sustaining non-profit organization with global impact, College Board offers a job that matters, a team that cares, and a place to learn, innovate and thrive!
About Us:
We are motivated to positively impact the educational and career trajectories of millions of students a year
We prioritize building a diverse and inclusive team where every employee can thrive, and every voice is heard
We value learning and growth; we offer formal and informal ways to lead through your superpowers, sharpen your strengths, and meet your development goals
Our high-performing engineers work with the latest technologies, so you will be constantly learning and sharpening your skills, enabling you to be industry-forward instead of left behind technologically
#LI-TheAcorn
#LI-Remote"
Data Scientist,"Kyndryl, Inc.","Remote in New York, NY",3.6,PostedPosted 11 days ago,"$193,194 a year","Formulate the project, design machine learning solution and experiment.
Conduct feasibility studies to see if there are sufficient data resources to build an…",https://www.indeed.com/rc/clk?jk=abffd8ab6a844f86&fccid=c7e21868d667ab79&vjs=3,"Your Role and Responsibilities
Data Scientist, Kyndryl Inc., New York, NY and various unanticipated client sites throughout the US (Up to 100% telecommuting permitted): Research and proof out novel enterprise transformation projects. Identify operations improvement opportunities within the enterprise. Conduct feasibility studies to see if there are sufficient data resources to build an analytics solution. Formulate the project, design machine learning solution and experiment. Communicate informed conclusions and recommendations across the leadership structure, either through technical writing, protype, or a combination of both. Design and verify code to support novel neural network architectures. Define a repeatable development environment (typically with significant compute resources and storage capacity). Establish simple statistical baselines. Investigate state-of-the-art modelling solutions (recent solutions from the literature or novel approaches if no such published result is available for adaptation) using optimization. Apply peer code review to limit risks of incorrect design, improve code quality, and disseminate team learning. Deploy and maintain continuous learning pipelines. Componentize model continuous training process into portable, replaceable and reusable nodes with well-defined functionality and balanced node workload. Refine interface and behaviors common to all components. Create/define a communication protocol for the anticipated deployment environment. Provision the compute environment by defining the contents of a service container (e.g. Docker), a transportable environment that can be used in a client’s multi-cloud environment. Relocate the setup machine physically or place the containerized model on a repository such as artifactory for downstream consumption. Utilize: matrix theory, numerical optimization, probability theory, statistical optimization algorithm, artificial intelligence, machine learning, Python and numerous numerical computing libraries. Required: Ph.D. in Engineering, Computer Science or related and one (1) year of experience as a Data Scientist, Applied Deep Learning Scientist or related. One (1) year of experience must include utilizing matrix theory, numerical optimization, probability theory, statistical optimization algorithm, artificial intelligence, machine learning, Python and numerous numerical computing libraries. $193,194.00 per year. Full time. S298.
Being You @ Kyndryl
Diversity is a whole lot more than what we look like or where we come from, it’s how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we’re not doing it single-handily: Our Kyndryl Inclusion Networks (KINs) are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you – and everyone next to you – the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That’s the Kyndryl Way.
Primary Job Category
Data Science
Role (Job Role)
Data Scientist
Employment Type
Full-Time
Contract Type
Regular
Position Type
Professional
Company
(Y078) Kyndryl, Inc.
Is this role a commissionable / sales incentive based position
No"
"Data Scientist / NLP (Python, Django/Flask, NLP, Clustering, Rest API)",Inner Balance Technology Services,"Remote in Washington, DC",NaN,PostedPosted 1 day ago,"From $120,000 a year","You should also have experience with data storage and processing technologies, as well as a strong understanding of machine learning concepts and techniques.",https://www.indeed.com/company/Inner-Balance-Technology-Services/jobs/Data-Scientist-1be0db10122fa7bf?fccid=7b57d8fec5053298&vjs=3,"JOB DESCRIPTION
*** PLEASE NO H1B or GREEN CARD HOLDERS ***
**US CITIZEN ONLY**
**DIRECT GOV CLIENT**
**100% Remote supporting a client in EST**
We are seeking an experienced Data Engineer/Python Backend Services Developer. This individual will be responsible for designing and implementing ML Models and implementing backend API services of large datasets using a modern data stack in an AWS cloud environment. This individual must be a US CITIZEN and should be able to obtain a government trust clearance.
To be successful in this role, you should have excellent problem-solving skills and be comfortable working with and analyzing large and complex datasets. You should also have experience with data storage and processing technologies, as well as a strong understanding of machine learning concepts and techniques.
REQUIREMENTS:
MUST BE US CITIZEN
Data Engineer Experience
3+ years of Python development experience Implementing ML Models with experience in NLP libraries (Spacy, Gensim), Text Classification, Clustering, Topic modeling (Keras/TF, Sckit Learn, Bert, Tomotopy)
3+ years of Python development of backend API services using Graphql (DJango/Graphene) or Rest API.
3+ years of experience with data orchestration engines (i.e. Airflow, Luigi, Prefect, Dagster, AWS Step Functions, AWS Glue, etc).
2+ years of experience working with big data storage platforms (HDFS, S3, Minio)
2+ years of experience working with big data formats (Parquet, Avro, Delta Lake, Iceberg)
2+ years of experience with python integration with messaging services (kafka, redis)
2+ years of experience with python API integration (REST, Graphql/Graphene)
3+ years experience with version control/working with CI/CD tools like Github, Gitlab, Jenkins, etc)
Data Management Experience
3+ years experience with Schema Design and Data Modeling.
5+ years of SQL experience.
Experience working with cloud or on-prem Big Data/MPP analytics platform (i.e. AWS Redshift, Snowflake, Databricks, Dremio, Teradata, or similar).
5+ years experience working with relational databases (i.e Oracle, Sql Server, Mysql, Postgres)
Client Engagement Experience
Experience working directly with client to gather/build requirement, analyzing data, designing technical solutions to address clients needs
Conducts unit tests, code reviews, assesses and improves site/software performance, and maintains design and code documentation
Experience working on a Scrum Agile Development Team
Self starter and problem solver
Job Types: Full-time, Contract
Pay: From $120,000.00 per year
Benefits:
Dental insurance
Health insurance
Vision insurance
Experience:
Implementing ML Models using Python: 2 years (Required)
Django / Graphene: 3 years (Required)
License/Certification:
US Citizen. Able to obtain a US Government Trust Clearance (Required)
Work Location: Remote

Health insurance"
Data Scientist jobs,MNR Solutions,Remote,NaN,PostedPosted 5 days ago,NaN,"5+ years of experience working with large and varying data sets, applying qualitative and quantitative analysis to interpret the data.",https://www.indeed.com/rc/clk?jk=6e55189b34ac3064&fccid=553e818e45409ae8&vjs=3,"Position: Data Scientist
Location: Remote
Experience:
Job Description

Requirement is for an individual with analytical & programming background, with applied Data Science experience, curiosity, and passion towards Big Data technology, to serve as a Lead Data Scientist for our Information Technology Unit. Judiciary is working in the areas of NLP (Natural Language Processing), Text Mining, and Deep Learning, to solve business problems and build predictive analytics products.
Responsibilities
Develop and apply quantitative and qualitative analytic methods to identify, collect, process and analyze large data sets for specified purposes.
Develop predictive models that are scalable, repeatable, effective, and meet the expectations of the decision-makers and stakeholders.
Serve as a cross-product expert, providing technical guidance in Machine Learning, Natural Language Processing, Data Mining and Information Retrieval experiments and projects.
Analyze use cases, understand user behaviors, identify repetitive and/or error prone manual human processes that can be augmented or automated.
Develop polished, high-impact persuasive reports and presentations that enable strategic decision-making supporting the project’s mission.
Requirements
Doctorate or Master’s Degree in Information Technology, Computer Science, quantitatively focused social sciences, or other quantitative fields.
5+ years of experience working with large and varying data sets, applying qualitative and quantitative analysis to interpret the data.
3+ year hands-on software engineering and Data Science experience working from data prep, modeling and feature engineering all the way through to deployment.
Develop algorithms and predictive models to derive insights and business value from data.
Test and validate algorithms and models using Machine Learning, Deep Learning and other modern techniques/methodologies.
Demonstrable proficiency in coding Python, R, Java, Scala, C++, programming concepts, IDEs and big data frameworks (Spark, Hadoop).
Strong knowledge and experience with several Data Science and ML/DL libraries or tools such as H2O, Spark MLlib, ML pipelines, Scikit-learn, H2O, Keras, Tensorflow etc.
Hands on experience with Data Science notebooks such as Anaconda, Jupyter, and Zeppelin
Strong understanding of machine learning methods such as classification, feature selection, clustering, neural networks, etc.
Experience and proficiency in utilizing statistical/analytic packages such as SAS, R, SPSS, S-Plus, Matlab to develop statistical models
Understanding of and experience with building canned and ad-hoc reports based on user requirements.
Visit us for more jobs https://mnrsolutions.in/job-openings/
Job Type: Full Time
Job Location: Remote"
Data Scientist - Fully remote,Meduit,"Remote in Waco, TX 76710",2.6,PostedPosted 30+ days ago,NaN,Interact regularly with other data professionals both within and external to the company to develop new opportunities for applying machine learning approaches…,https://www.indeed.com/rc/clk?jk=e90e244942ec2db1&fccid=e7434ab23b6ba6bc&vjs=3,"Role Summary:
The Data Scientist will help Meduit develop tools that provide value to our customers by anticipating problems, forecasting, and predicting optimal action for resolution, and implementing machine learning prescriptive solutions. The primary focus of this role will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. The Data Scientist will be responsible for intricately running analytical experiments in a methodical manner and will regularly evaluate alternative models via theoretical approaches.

Key Accountabilities:
Design and build validation tests to assess the efficiency of the model (or algorithm) in place and provide strategic insights to stakeholders.
Develop mechanisms to objectively measure the performance of initiatives against the proper benchmarks and propose recommendations for improvement. Create reporting to measure success and fails.
Develop frameworks, models, tools, and processes to ensure data influences decisions at all levels in a timely and high-quality manner.
Initiate and carry out analytic experiments aligned with long-term, strategic initiatives.
Combine great data analytics skills with strong business acumen to provide insights that will drive continued success.
Interact regularly with other data professionals both within and external to the company to develop new opportunities for applying machine learning approaches to Meduit’s domain of expertise.
Participate in agile or similar fast-paced development cycles
Competencies:
Communication: Creates an atmosphere in which timely and high-quality information flows smoothly with the business and development teams. Able to communicate with different levels of employees. Explain complicated items in simple ways.
Decision Making: Makes decisions authoritatively and wisely, after adequately contemplating various available courses of action. Willing to fail quickly and move on from ideas that are not productive.
Initiative: Does more than is required or expected in the job; does things that no one has requested that will improve or enhance products and services, avoid problems, or develop entrepreneurial opportunities.
Client Service: Demonstrates strong commitment to meeting the needs of both internal and external customers striving to ensure their full satisfaction.
Organization: Establishes a systematic course of action for self or others to ensure accomplishment of a specific objective. Sets priorities with an appropriate sense of what is most important and plans with an appropriate and realistic sense of the time demand involved.
Success Measures:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
Qualifications:
BS/BA or Master’s Degree in an Applied Science OR 4 + years of relevant experience, preferably in a high-tech environment
Practical statistical programming language experience with SQL and Python.
Strong background in statistics, modeling and optimization as demonstrated by either industry experience or coursework/academic research.
Outstanding attention to detail and ability to deliver timely and accurate products in a fast-paced and dynamic environment. Ability to change gears.
Special Position Requirements:
Language Skills: Ability to write reports, business correspondence, and technical documentation. Ability to effectively present information and respond to questions from groups of managers, clients, and customers.
Mathematical Skills: Ability to understand advanced statistical concepts required for predictive analytics. Understanding of probabilities and game theory.
Reasoning Ability: Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form. Outside of the box thinking.
Computer Skills: To perform this job successfully, an individual should have knowledge of machine learning programming. Python and SQL are musts.
Other Skills: High energy level, great interpersonal skills needed for this position. Strong work ethic with a passion for success. Having the ability to work multiple items/projects. Logical thought process.
Work Requirements:

Physical Demands The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this Job, the employee is regularly required to sit; use hands to finger, handle, or feel and talk or hear. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus.

Work Environment The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Meduit is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, religion, sex, age, national origin, disability, military status, genetic information, sexual orientation, marital status, domestic violence victim status or status as a protected veteran or any other federal, state or local protected class.


Experience
Required
3 year(s): Relevant experience , preferably in a high-tech environment
Education
Preferred
Bachelors or better in Applied Statistics or related field
Bachelors or better
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
Data Scientist,Advance Local,Remote,3.6,PostedPosted 21 days ago,"$120,000 - $140,000 a year","Drive business results with data-based models, analysis and insights, working with stakeholders from departments including consumer revenue, product, content,…",https://www.indeed.com/rc/clk?jk=67079638c0bd0561&fccid=31a0500c8ccc54ba&vjs=3,"Position Summary:
The position pays between $120,000 and $140,000 annual salary.

The Data Scientist applies data mining techniques, conducts statistical analysis, and builds high quality prediction systems integrated with our products and the customer data platform to increase consumer and advertising revenue. This position uses large data sets to find opportunities for product, marketing, UX and process optimization and builds models to enable advanced hypotheses testing of different courses of action to improve and increase business performance.

Required Education, Experience and Skills:
Bachelor’s degree in statistics, mathematics, computer science or another quantitative field required; master’s degree preferred
Minimum two years’ experience manipulating data sets and building statistical models
Strong problem-solving skills with an emphasis on using disparate data sources
Experience using statistics, propensity model building, and algorithms to manipulate data and draw insights from large data sets
Experience working with and creating data sets
Experience performing A/B testing and reporting results
Knowledge of a variety of machine learning techniques and their real-world advantages/drawbacks to recommend business-growth campaigns
Duties and Responsibilities:
The duties listed are intended as examples only and may not represent a complete list. Duties and Responsibilities, work schedules and/or location may change based on evolving business needs.

Drive business results with data-based models, analysis and insights, working with stakeholders from departments including consumer revenue, product, content, advertising and analytics to improve business outcomes using and developing a new integrated data platform as well as the customer data platform and using tools and techniques such as A/B testing and other capabilities/tools.
Build and implement models, use and create algorithms to apply to data sets and run simulations.
Coordinate with different functional teams to implement models and monitor outcomes and campaign effectiveness.
Mine and analyze data from company databases to drive optimization and improvement of marketing techniques, business strategies and sales tactics.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Use predictive modeling to increase and optimize customer experiences, revenue generation, sales targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Develop materials – presentations, communications, reports, etc. to explain findings.
Working Conditions and Physical Requirements
General Office Environment. Extensive computer use required.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
Data Scientist,Great American Insurance Company,"Remote in Los Angeles, CA 90017",3.8,PostedPosted 7 days ago,"$95,000 - $112,000 a year","Experience: 2+ years of experience with structured data, machine learning, data visualization, Python, R, and SQL.",https://www.indeed.com/rc/clk?jk=7e518ef57fbbcc33&fccid=11e7471668f88afd&vjs=3,"Be Here. Be Great. Working for a leader in the insurance industry means opportunity for you. Great American Insurance Group's member companies are subsidiaries of American Financial Group, a Fortune 500 company. We combine a ""small company"" culture where your ideas will be heard with ""big company"" expertise to help you succeed. With over 30 specialty and property and casualty operations, there are always opportunities here to learn and grow.
At Great American, we value diversity and recognize the benefits gained when people from different cultures, backgrounds and experiences work collaboratively to achieve business results. We are intentionally focused on fostering an inclusive culture and know valuing diversity is an essential leadership quality. Our goal is to create a workplace where all employees feel included, empowered and enabled to perform at their best.
Essential Job Functions and Responsibilities
Participates in the analysis of internal and external data and performs statistical modeling to develop actionable insights and recommendations to management regarding business and product performance.
Develops data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends and extract knowledge. from large, high dimensional data sets.
Participates in the creation of solutions that enable enhanced business performance and decision making through a range of data preparation, modeling, analysis and/or visualization techniques.
Participate in using artificial intelligence and machine learning to develop processes automation.
Researches and applies knowledge of existing and emerging data science principles, theories, and techniques to inform business decisions.
Develops and maintains business knowledge and customer relationships.
Performs other duties as assigned.
Remote work permissible.
Job Requirements
Education: Bachelor’s or Master’s degree in data science, computer science, business analytics, or a related quantitative field.
Experience: 2+ years of experience with structured data, machine learning, data visualization, Python, R, and SQL.
Business Unit:
Great American Custom

Salary Range:
$95,000.00 -$112,000.00
Benefits:
We offer competitive healthcare, retirement, and paid time off benefits."
Senior Data Analyst,Harvest NYC,Remote,NaN,PostedPosted 20 days ago,"$165,000 a year","We are looking for a Data Analyst to uplevel Harvest’s business and product insights, developing reporting and data visualizations that inform strategic…",https://www.indeed.com/rc/clk?jk=958ff5791d1b8d76&fccid=74b857a2e363e1fb&vjs=3,"Description
About Harvest
Harvest is an industry-leading, independent software company that makes tools to help businesses run more smoothly. We believe that businesses only succeed by using their time intentionally. Our products support our customers through time tracking, reporting, and forecasting features.
Harvest started in 2006 as a team of three and has grown to today’s current team of almost 90 with Harvesters working from around the globe. We’ve worked as a remote team since the beginning and we continue to hire the right people for the job no matter where they call home.
We strive to create a workplace culture where everyone feels valued, included, and heard. One important aspect of this is continuing to create spaces for diverse life experiences and work histories. If you are a member of a group that is historically underrepresented and disadvantaged in tech, business, and society in general, we want to meet you and we encourage you to apply.
Why We’re Hiring
We are looking for a Data Analyst to uplevel Harvest’s business and product insights, developing reporting and data visualizations that inform strategic decisions throughout the entire Harvest organization.
In this role, you will leverage your technical skills to synthesize and analyze data, then present your findings via clear and consumable reporting that ensures understanding and elevates data literacy.
To be successful in this role, you must be an exceptional communicator, capable of translating complex ideas into actionable insights and presenting to all levels of the organization. You must have strong technical abilities, with expertise in SQL, Python and R combined with strong analytical skills.


What You’ll Do:
Collaborate with internal stakeholders to establish KPIs and develop clear, consumable reporting. Help partners flesh out their questions, diving deeper and presenting your findings to them at the appropriate level of granularity and detail.
Synthesize data from a variety of sources to develop and present reporting and data visualizations that drive understanding and inform action for Harvesters at every level of the organization.
Leverage your extensive SQL knowledge to query and analyze data; when more advanced analysis is required, use Python or R to explore, visualize and analyze data while codifying business logic using DBT (Data Build Tool) and automating reports using Mode, our BI tool of choice.
Cultivate a nuanced understanding of Harvest’s data and lead research to uncover the questions we don’t know we should be asking, both for our business and product.
Improve our data systems by collaborating with colleagues across Harvest to continue to expand and centralize our knowledge into DBT while ensuring stakeholders understand how to access this knowledge.
Requirements
Appetite and effort to stay up to date on the latest trends
Strong attention to detail with an analytical mind to problem-solve
Excellent written and verbal communication skills
Proven ability to visualize data in a way that increases understanding
Ability to work independently with minimal supervision while delivering results
Fluency in SQL and an added benefit if comfortable with a scripting language (preference for Python/R)
Benefits
At Harvest, our compensation consists of three main components:
A competitive base pay: The salary for this role is $165,000 in USD. Every Harvester with the same role expectations receives the same base pay. And we aim to pay at the top of the market (informed by third-party data) for all roles.
Individual and company performance bonus plans: We believe in rewarding performance, so all Harvesters are eligible to receive an individual and company performance bonus after working with Harvest for a period of time.
Competitive benefits*: We offer a number of benefits, including
15 days of vacation in your first year, plus company holidays and a week off for winter break. And you’ll get an additional two days per year until you reach twenty days.
100% coverage of health insurance premiums across our medical, dental, and vision plan offerings for you, your spouse, and your dependents
A yearly budget for your professional learning and development goals
401k plan with a 6% company match after three months with the company
16 weeks of paid family leave to all new parents with the option to use it all at once or throughout the baby’s first year as well as a virtual platform providing support across fertility, pregnancy, adoption, and through your first year of parenting
A charitable giving matching program to support your contributions to your favorite charitable organizations
And much more...
Some of the benefits described are only available to U.S.-based Harvesters. Benefits information for non-U.S.-based Harvesters will be provided to individuals who interview for those roles."
Data Scientist,The Chefs' Warehouse,Remote,3.1,PostedPosted 18 days ago,NaN,"Work with large data sets to identify trends and patterns, and create predictive models for business performance metrics.
Health, Dental and Medical Benefits.",https://www.indeed.com/rc/clk?jk=3b89f18cb4fae769&fccid=60c6b880b24e0673&vjs=3,"About Us: The Chefs' Warehouse, Inc. (http://www.chefswarehouse.com) combines exceptional quality and brand building with broadline food service distribution for more than 35 years. With Protein, Specialty, Produce, and Broadline offerings, we service the most discerning chefs in a hybrid approach of convenience and superior quality. We introduce more than 2,000 artisan producers of the world’s finest ingredients from over 40 countries to the finest chefs in the world. We passionately consult, sell, and build relationships with more than 35,000 customers through the most experienced network of over 600 consultive sales associates, best-in-breed technology, rapid service, and support levels that solidify our long-standing ties to both established and up-and-coming premium restaurants.

Mission: The mission of The Chefs’ Warehouse is to provide the world’s greatest ingredients to the world’s best chefs.

Our C.H.E.F.S. Values:
Curious & Creative
Hungry For Food & Results
Entrepreneurial
Forward Thinking & Flexible
Supportive (Of Peers & Chefs)

Position Summary: We are looking for an experienced Data Scientist to join our Business Intelligence team. The successful candidate will be responsible for analyzing and interpreting large amounts of data to help drive business decisions. They will use statistical modeling, causal inference, and machine learning techniques to develop predictive models and make recommendations for improving our e-commerce platform.

This position is remote, but candidate must live in the north-east region.

What you’ll do:
Develop and maintain statistical models to measure the effectiveness of marketing campaigns, product recommendations, and other business initiatives
Implement and interpret A/B testing to help understand the impact of improvement efforts
Work with large data sets to identify trends and patterns, and create predictive models for business performance metrics
Analyze customer behavior data to identify opportunities for optimization and personalization
Collaborate with cross-functional teams to provide insights and recommendations to improve our e-commerce platform
Communicate findings and insights to stakeholders in a clear and concise manner
About you:
Bachelor’s Degree and/or Master’s Degree in a quantitative field such as Statistics, Mathematics, or Computer Science
3+ years of experience working as a Data Scientist, preferably in an e-commerce or related industry
Strong knowledge of statistical modeling, causal inference, and machine learning techniques
Proficiency in Python, SQL, and other relevant programming languages
Excellent problem-solving skills and the ability to work independently or as part of a team
Strong communication skills and the ability to explain complex data concepts to non-technical stakeholders
Knowledge of machine learning techniques and their application to e-commerce use cases, including the ability to explain why a specific model was chosen and underlying math behind a model
Experience with data visualization tools such as Tableau, Looker Studio or Holoviz
The above job description is not an all-inclusive list of duties and standards of the position. Incumbents will follow any other instructions, and perform any other related duties as assigned by their supervisor.

Perks & Benefits:
Paid Vacations, Paid Holidays
Health, Dental and Medical Benefits
Weekly pay
Life Insurance
5% above cost for our high-quality food products
Employee discounts for travel and events
401k
The Chefs' Warehouse is an Equal Opportunity Employer that does not discriminate based on actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, pregnancy, gender identity or any other characteristic protected by applicable federal, state, or local laws. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment. We are dedicated to building an inclusive and diverse workforce."
Healthcare Data Scientist,Humbi Analytics LLC,Remote,NaN,EmployerActive 9 days ago,"$80,000 - $120,000 a year","Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).",https://www.indeed.com/company/Humbi-Analytics-LLC/jobs/Healthcare-Data-Scientist-8d813ca95ed4ab8f?fccid=b6e9ece16fd6f48f&vjs=3,"Humbi Analytics LLC is looking for highly analytical individuals who are skilled in utilizing various data analytical tools to manipulate data and derive meaningful business insights for client consumption.
Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).
The duties of this position include: organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating the findings through dissemination of data visualization exhibits and tabular reports.
Healthcare Data Analyst Responsibilities:
· Compiling and organizing healthcare data.
· Analyzing data to assist in delivering optimal healthcare management and decision making.
· Using healthcare data to achieve administrative needs and goals.
· Investigating data to find patterns and trends.
· Understanding healthcare business operations.
· Utilizing different data sources for analyses.
· Converting data into usable information that is easy to understand.
· Developing reports and presentations.
· Communicating analytic insights to management.
Healthcare Data Analyst Requirements:
· Bachelor's degree in Mathematics, Statistics or Computer Science Engineering
· Proficiency with database / statistical packages such as SAS, Python and R
· Advanced machine learning and programming skills preferable
· Experience with data visualization tools (Tableau / Power BI)
· Knowledge of data management applications.
· Analytical mindset with good problem-solving skills.
· Excellent written and verbal communication skills.
· Good interpersonal skills.
Job Type: Full-time
Salary: $80,000 - $120,000 per year
Schedule: 10 hour shift
Work Location: Remote
Job Type: Full-time
Pay: $80,000.00 - $120,000.00 per year
Schedule:
10 hour shift
Monday to Friday
Work Location: Remote"
Business Analyst (AI Governance),314e Corporation,Remote,3.6,PostedPosted 1 day ago,From $50 an hour,"This is a part-time role.
Looking for BA with healthcare experience.
Business Analyst dedicated to AI governance and our AI industry partnerships.",https://www.indeed.com/company/314E-Corporation/jobs/Business-Analyst-59a95b6d611872f6?fccid=db9acdaa6acde12b&vjs=3,"Description:
This is a part-time role. Looking for BA with healthcare experience. Business Analyst dedicated to AI governance and our AI industry partnerships.
Job Type: Part-time
Pay: From $50.00 per hour
Benefits:
401(k)
401(k) matching
Health insurance
Schedule:
4 hour shift
Monday to Friday
Work Location: Remote

Health insurance"
